function	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
RXN1G-508	6868.66	10392.34	11152.679999999997	8092.48	8737.579999999998	7775.09	6364.07	4358.45	6232.290000000001	3781.74	12170.740000000002	3386.090000000001	2642.13	1711.3199999999995	3920.050000000001	3349.5600000000004	563.68	2244.82	1096.0000000000002	3186.52	1551.8500000000006	1925.64	13853.4	10602.819999999998	11827.78	1423.6699999999996	714.4899999999999	1217.17	1129.98	1446.23	804.1899999999998	3017.04	3045.8100000000004	5206.01
RXN1G-509	3919.79	6864.53	6626.06	4564.93	4784.86	4777.52	3794.1700000000014	4267.93	1236.6000000000004	1288.16	1960.09	1432.7700000000002	1940.45	498.79	883.13	1624.58	624.76	398.12	304.9600000000001	645.7199999999998	455.32	1241.27	3500.69	3907.66	3457.95	961.0799999999997	521.56	1159.7700000000002	809.2900000000002	1285.6	598.6099999999999	2198.4	2229.14	3575.13
RXN1G-517	3072.390000000001	5829.879999999999	5703.41	3940.51	4446.71	3745.52	3212.0200000000004	3199.26	1236.34	1289.85	2913.07	1518.8300000000004	2034.95	483.48	1054.08	1746.09	464.84	395.12	300.3	823.3000000000002	548.74	1052.4699999999998	3899.22	4454.459999999999	3585.66	1096.58	619.89	1260.44	889.46	1389.27	700.4399999999998	2367.4300000000007	2578.4100000000008	4590.8
RXN1G-526	3919.79	6864.53	6626.06	4564.93	4784.86	4777.52	3794.1700000000014	4267.93	1236.6000000000004	1288.16	1960.09	1432.7700000000002	1940.45	498.79	883.13	1624.58	624.76	398.12	304.9600000000001	645.7199999999998	455.32	1241.27	3500.69	3907.66	3457.95	961.0799999999997	521.56	1159.7700000000002	809.2900000000002	1285.6	598.6099999999999	2198.4	2229.14	3575.13
RXN1G-53	20.0	44.0	8.3	0.4	4.0	0.4	124.0	178.43	207.57	409.1	1143.03	355.4	473.85	97.23	387.4	342.23	33.4	44.06	79.33	306.1	143.95999999999995	6.67	1145.7	1367.87	648.1999999999998	265.32	203.46	265.67	242.19	222.3	181.61	436.2000000000001	556.1899999999998	717.13
RXN1G-554	3072.390000000001	5829.879999999999	5703.41	3940.51	4446.71	3745.52	3212.0200000000004	3199.26	1236.34	1289.85	2913.07	1518.8300000000004	2034.95	483.48	1054.08	1746.09	464.84	395.12	300.3	823.3000000000002	548.74	1052.4699999999998	3899.22	4454.459999999999	3585.66	1096.58	619.89	1260.44	889.46	1389.27	700.4399999999998	2367.4300000000007	2578.4100000000008	4590.8
RXN1G-557	2879.6800000000007	4230.88	4319.5	3302.26	3381.46	3600.81	2798.7100000000005	2753.46	1192.4300000000005	1281.35	4935.6799999999985	1428.34	1762.5499999999995	501.98	1373.5399999999995	1654.9899999999998	399.75	438.13	286.72	1286.4199999999996	686.61	778.7199999999998	4592.03	3576.86	3748.62	1157.21	519.8299999999998	1039.6999999999996	835.72	1237.7299999999998	595.78	2499.87	2303.4700000000007	3732.93
RXN1G-580	2879.6800000000007	4230.88	4319.5	3302.26	3381.46	3600.81	2798.7100000000005	2753.46	1192.4300000000005	1281.35	4935.6799999999985	1428.34	1762.5499999999995	501.98	1373.5399999999995	1654.9899999999998	399.75	438.13	286.72	1286.4199999999996	686.61	778.7199999999998	4592.03	3576.86	3748.62	1157.21	519.8299999999998	1039.6999999999996	835.72	1237.7299999999998	595.78	2499.87	2303.4700000000007	3732.93
RXN1G-582	2879.6800000000007	4230.88	4319.5	3302.26	3381.46	3600.81	2798.7100000000005	2753.46	1192.4300000000005	1281.35	4935.6799999999985	1428.34	1762.5499999999995	501.98	1373.5399999999995	1654.9899999999998	399.75	438.13	286.72	1286.4199999999996	686.61	778.7199999999998	4592.03	3576.86	3748.62	1157.21	519.8299999999998	1039.6999999999996	835.72	1237.7299999999998	595.78	2499.87	2303.4700000000007	3732.93
RXN1G-607	3919.79	6864.53	6626.06	4564.93	4784.86	4777.52	3794.1700000000014	4267.93	1236.6000000000004	1288.16	1960.09	1432.7700000000002	1940.45	498.79	883.13	1624.58	624.76	398.12	304.9600000000001	645.7199999999998	455.32	1241.27	3500.69	3907.66	3457.95	961.0799999999997	521.56	1159.7700000000002	809.2900000000002	1285.6	598.6099999999999	2198.4	2229.14	3575.13
RXN1G-613	6868.66	10392.34	11152.679999999997	8092.48	8737.579999999998	7775.09	6364.07	4358.45	6232.290000000001	3781.74	12170.740000000002	3386.090000000001	2642.13	1711.3199999999995	3920.050000000001	3349.5600000000004	563.68	2244.82	1096.0000000000002	3186.52	1551.8500000000006	1925.64	13853.4	10602.819999999998	11827.78	1423.6699999999996	714.4899999999999	1217.17	1129.98	1446.23	804.1899999999998	3017.04	3045.8100000000004	5206.01
RXN1G-617	6868.66	10392.34	11152.679999999997	8092.48	8737.579999999998	7775.09	6364.07	4358.45	6232.290000000001	3781.74	12170.740000000002	3386.090000000001	2642.13	1711.3199999999995	3920.050000000001	3349.5600000000004	563.68	2244.82	1096.0000000000002	3186.52	1551.8500000000006	1925.64	13853.4	10602.819999999998	11827.78	1423.6699999999996	714.4899999999999	1217.17	1129.98	1446.23	804.1899999999998	3017.04	3045.8100000000004	5206.01
RXN1G-637	6868.66	10392.34	11152.679999999997	8092.48	8737.579999999998	7775.09	6364.07	4358.45	6232.290000000001	3781.74	12170.740000000002	3386.090000000001	2642.13	1711.3199999999995	3920.050000000001	3349.5600000000004	563.68	2244.82	1096.0000000000002	3186.52	1551.8500000000006	1925.64	13853.4	10602.819999999998	11827.78	1423.6699999999996	714.4899999999999	1217.17	1129.98	1446.23	804.1899999999998	3017.04	3045.8100000000004	5206.01
RXN1G-645	3072.390000000001	5829.879999999999	5703.41	3940.51	4446.71	3745.52	3212.0200000000004	3199.26	1236.34	1289.85	2913.07	1518.8300000000004	2034.95	483.48	1054.08	1746.09	464.84	395.12	300.3	823.3000000000002	548.74	1052.4699999999998	3899.22	4454.459999999999	3585.66	1096.58	619.89	1260.44	889.46	1389.27	700.4399999999998	2367.4300000000007	2578.4100000000008	4590.8
RXN1G-648	3072.390000000001	5829.879999999999	5703.41	3940.51	4446.71	3745.52	3212.0200000000004	3199.26	1236.34	1289.85	2913.07	1518.8300000000004	2034.95	483.48	1054.08	1746.09	464.84	395.12	300.3	823.3000000000002	548.74	1052.4699999999998	3899.22	4454.459999999999	3585.66	1096.58	619.89	1260.44	889.46	1389.27	700.4399999999998	2367.4300000000007	2578.4100000000008	4590.8
RXN1G-660	2879.6800000000007	4230.88	4319.5	3302.26	3381.46	3600.81	2798.7100000000005	2753.46	1192.4300000000005	1281.35	4935.6799999999985	1428.34	1762.5499999999995	501.98	1373.5399999999995	1654.9899999999998	399.75	438.13	286.72	1286.4199999999996	686.61	778.7199999999998	4592.03	3576.86	3748.62	1157.21	519.8299999999998	1039.6999999999996	835.72	1237.7299999999998	595.78	2499.87	2303.4700000000007	3732.93
RXN1G-674	20.0	44.0	8.3	0.4	4.0	0.4	124.0	178.43	207.57	409.1	1143.03	355.4	473.85	97.23	387.4	342.23	33.4	44.06	79.33	306.1	143.95999999999995	6.67	1145.7	1367.87	648.1999999999998	265.32	203.46	265.67	242.19	222.3	181.61	436.2000000000001	556.1899999999998	717.13
RXN1G-679	3919.79	6864.53	6626.06	4564.93	4784.86	4777.52	3794.1700000000014	4267.93	1236.6000000000004	1288.16	1960.09	1432.7700000000002	1940.45	498.79	883.13	1624.58	624.76	398.12	304.9600000000001	645.7199999999998	455.32	1241.27	3500.69	3907.66	3457.95	961.0799999999997	521.56	1159.7700000000002	809.2900000000002	1285.6	598.6099999999999	2198.4	2229.14	3575.13
RXN1G-686	3919.79	6864.53	6626.06	4564.93	4784.86	4777.52	3794.1700000000014	4267.93	1236.6000000000004	1288.16	1960.09	1432.7700000000002	1940.45	498.79	883.13	1624.58	624.76	398.12	304.9600000000001	645.7199999999998	455.32	1241.27	3500.69	3907.66	3457.95	961.0799999999997	521.56	1159.7700000000002	809.2900000000002	1285.6	598.6099999999999	2198.4	2229.14	3575.13
RXN1G-717	6868.66	10392.34	11152.679999999997	8092.48	8737.579999999998	7775.09	6364.07	4358.45	6232.290000000001	3781.74	12170.740000000002	3386.090000000001	2642.13	1711.3199999999995	3920.050000000001	3349.5600000000004	563.68	2244.82	1096.0000000000002	3186.52	1551.8500000000006	1925.64	13853.4	10602.819999999998	11827.78	1423.6699999999996	714.4899999999999	1217.17	1129.98	1446.23	804.1899999999998	3017.04	3045.8100000000004	5206.01
RXN1G-72	6868.66	10392.34	11152.679999999997	8092.48	8737.579999999998	7775.09	6364.07	4358.45	6232.290000000001	3781.74	12170.740000000002	3386.090000000001	2642.13	1711.3199999999995	3920.050000000001	3349.5600000000004	563.68	2244.82	1096.0000000000002	3186.52	1551.8500000000006	1925.64	13853.4	10602.819999999998	11827.78	1423.6699999999996	714.4899999999999	1217.17	1129.98	1446.23	804.1899999999998	3017.04	3045.8100000000004	5206.01
RXN1G-760	3072.390000000001	5829.879999999999	5703.41	3940.51	4446.71	3745.52	3212.0200000000004	3199.26	1236.34	1289.85	2913.07	1518.8300000000004	2034.95	483.48	1054.08	1746.09	464.84	395.12	300.3	823.3000000000002	548.74	1052.4699999999998	3899.22	4454.459999999999	3585.66	1096.58	619.89	1260.44	889.46	1389.27	700.4399999999998	2367.4300000000007	2578.4100000000008	4590.8
RXN1G-79	2879.6800000000007	4230.88	4319.5	3302.26	3381.46	3600.81	2798.7100000000005	2753.46	1192.4300000000005	1281.35	4935.6799999999985	1428.34	1762.5499999999995	501.98	1373.5399999999995	1654.9899999999998	399.75	438.13	286.72	1286.4199999999996	686.61	778.7199999999998	4592.03	3576.86	3748.62	1157.21	519.8299999999998	1039.6999999999996	835.72	1237.7299999999998	595.78	2499.87	2303.4700000000007	3732.93
RXN1G-818	2879.6800000000007	4230.88	4319.5	3302.26	3381.46	3600.81	2798.7100000000005	2753.46	1192.4300000000005	1281.35	4935.6799999999985	1428.34	1762.5499999999995	501.98	1373.5399999999995	1654.9899999999998	399.75	438.13	286.72	1286.4199999999996	686.61	778.7199999999998	4592.03	3576.86	3748.62	1157.21	519.8299999999998	1039.6999999999996	835.72	1237.7299999999998	595.78	2499.87	2303.4700000000007	3732.93
RXN1G-820	3919.79	6864.53	6626.06	4564.93	4784.86	4777.52	3794.1700000000014	4267.93	1236.6000000000004	1288.16	1960.09	1432.7700000000002	1940.45	498.79	883.13	1624.58	624.76	398.12	304.9600000000001	645.7199999999998	455.32	1241.27	3500.69	3907.66	3457.95	961.0799999999997	521.56	1159.7700000000002	809.2900000000002	1285.6	598.6099999999999	2198.4	2229.14	3575.13
RXN1G-840	491.42	3200.0	2970.83	1718.0	2356.0	659.42	853.2199999999998	718.11	1398.91	499.38000000000005	2412.34	876.27	667.7	120.76	614.9399999999998	846.48	113.19	454.79	90.94	642.89	358.06	559.0	1732.32	1912.17	976.93	83.64	236.53	79.47	258.87	239.27	208.83	1369.0300000000002	947.47	1695.6
RXN1G-853	6868.66	10392.34	11152.679999999997	8092.48	8737.579999999998	7775.09	6364.07	4358.45	6232.290000000001	3781.74	12170.740000000002	3386.090000000001	2642.13	1711.3199999999995	3920.050000000001	3349.5600000000004	563.68	2244.82	1096.0000000000002	3186.52	1551.8500000000006	1925.64	13853.4	10602.819999999998	11827.78	1423.6699999999996	714.4899999999999	1217.17	1129.98	1446.23	804.1899999999998	3017.04	3045.8100000000004	5206.01
RXN1G-874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	524.0	561.33	46.33	42.0	10.5	54.84	129.0	37.4	0.0	218.33	136.5	26.0	15.58	0.0	396.71	222.42	442.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN1G-881	6868.66	10392.34	11152.679999999997	8092.48	8737.579999999998	7775.09	6364.07	4358.45	6232.290000000001	3781.74	12170.740000000002	3386.090000000001	2642.13	1711.3199999999995	3920.050000000001	3349.5600000000004	563.68	2244.82	1096.0000000000002	3186.52	1551.8500000000006	1925.64	13853.4	10602.819999999998	11827.78	1423.6699999999996	714.4899999999999	1217.17	1129.98	1446.23	804.1899999999998	3017.04	3045.8100000000004	5206.01
RXN1G-883	2879.6800000000007	4230.88	4319.5	3302.26	3381.46	3600.81	2798.7100000000005	2753.46	1192.4300000000005	1281.35	4935.6799999999985	1428.34	1762.5499999999995	501.98	1373.5399999999995	1654.9899999999998	399.75	438.13	286.72	1286.4199999999996	686.61	778.7199999999998	4592.03	3576.86	3748.62	1157.21	519.8299999999998	1039.6999999999996	835.72	1237.7299999999998	595.78	2499.87	2303.4700000000007	3732.93
RXN1G-884	3072.390000000001	5829.879999999999	5703.41	3940.51	4446.71	3745.52	3212.0200000000004	3199.26	1236.34	1289.85	2913.07	1518.8300000000004	2034.95	483.48	1054.08	1746.09	464.84	395.12	300.3	823.3000000000002	548.74	1052.4699999999998	3899.22	4454.459999999999	3585.66	1096.58	619.89	1260.44	889.46	1389.27	700.4399999999998	2367.4300000000007	2578.4100000000008	4590.8
RXN1G-89	2879.6800000000007	4230.88	4319.5	3302.26	3381.46	3600.81	2798.7100000000005	2753.46	1192.4300000000005	1281.35	4935.6799999999985	1428.34	1762.5499999999995	501.98	1373.5399999999995	1654.9899999999998	399.75	438.13	286.72	1286.4199999999996	686.61	778.7199999999998	4592.03	3576.86	3748.62	1157.21	519.8299999999998	1039.6999999999996	835.72	1237.7299999999998	595.78	2499.87	2303.4700000000007	3732.93
RXN1G-912	3072.390000000001	5829.879999999999	5703.41	3940.51	4446.71	3745.52	3212.0200000000004	3199.26	1236.34	1289.85	2913.07	1518.8300000000004	2034.95	483.48	1054.08	1746.09	464.84	395.12	300.3	823.3000000000002	548.74	1052.4699999999998	3899.22	4454.459999999999	3585.66	1096.58	619.89	1260.44	889.46	1389.27	700.4399999999998	2367.4300000000007	2578.4100000000008	4590.8
RXN1G-915	3919.79	6864.53	6626.06	4564.93	4784.86	4777.52	3794.1700000000014	4267.93	1236.6000000000004	1288.16	1960.09	1432.7700000000002	1940.45	498.79	883.13	1624.58	624.76	398.12	304.9600000000001	645.7199999999998	455.32	1241.27	3500.69	3907.66	3457.95	961.0799999999997	521.56	1159.7700000000002	809.2900000000002	1285.6	598.6099999999999	2198.4	2229.14	3575.13
RXN1G-94	2879.6800000000007	4230.88	4319.5	3302.26	3381.46	3600.81	2798.7100000000005	2753.46	1192.4300000000005	1281.35	4935.6799999999985	1428.34	1762.5499999999995	501.98	1373.5399999999995	1654.9899999999998	399.75	438.13	286.72	1286.4199999999996	686.61	778.7199999999998	4592.03	3576.86	3748.62	1157.21	519.8299999999998	1039.6999999999996	835.72	1237.7299999999998	595.78	2499.87	2303.4700000000007	3732.93
RXN1G-951	6868.66	10392.34	11152.679999999997	8092.48	8737.579999999998	7775.09	6364.07	4358.45	6232.290000000001	3781.74	12170.740000000002	3386.090000000001	2642.13	1711.3199999999995	3920.050000000001	3349.5600000000004	563.68	2244.82	1096.0000000000002	3186.52	1551.8500000000006	1925.64	13853.4	10602.819999999998	11827.78	1423.6699999999996	714.4899999999999	1217.17	1129.98	1446.23	804.1899999999998	3017.04	3045.8100000000004	5206.01
